type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,-8.088,-20.879
0.017,-8.370,-20.852
0.033,-8.223,-21.062
0.050,-8.092,-20.925
0.067,-8.616,-20.983
0.083,-8.731,-21.323
0.100,-9.205,-21.485
0.117,-9.293,-21.719
0.133,-9.557,-21.924
0.150,-9.597,-21.892
0.167,-9.699,-22.093
0.183,-9.924,-22.558
0.200,-9.717,-22.524
0.217,-9.975,-23.172
0.233,-9.579,-23.385
0.250,-9.373,-23.891
0.267,-9.565,-24.420
0.283,-9.448,-25.110
0.300,-9.195,-25.743
0.317,-8.894,-25.674
0.333,-8.711,-25.763
0.350,-8.738,-25.975
0.367,-8.301,-25.860
0.383,-8.459,-26.088
0.400,-8.412,-26.028
0.417,-8.123,-25.932
0.433,-7.662,-25.590
0.450,-7.658,-25.865
0.467,-7.468,-25.630
0.483,-7.178,-25.430
0.500,-7.703,-25.527
0.517,-6.568,-25.916
0.533,-6.690,-25.845
0.550,-6.467,-25.777
0.567,-6.270,-25.912
0.583,-6.237,-25.611
0.600,-5.964,-26.057
0.617,-6.369,-26.018
0.633,-6.344,-26.175
0.650,-6.495,-26.643
0.667,-6.878,-26.553
0.683,-7.043,-27.014
0.700,-7.528,-27.281
0.717,-7.836,-27.548
0.733,-8.323,-28.018
0.750,-8.323,-28.309
0.767,-8.079,-28.567
0.783,-8.517,-29.041
0.800,-8.873,-29.448
0.817,-9.272,-29.259
0.833,-9.464,-29.458
0.850,-9.560,-29.506
0.867,-9.342,-29.908
0.883,-9.584,-30.165
0.900,-9.677,-30.326
0.917,-9.534,-30.377
0.933,-9.621,-30.374
0.950,-9.786,-30.363
0.967,-10.002,-30.389
0.983,-10.029,-30.128
1.000,-10.229,-30.176
1.017,-10.015,-29.987
1.033,-10.502,-30.099
1.050,-10.646,-29.947
1.067,-10.887,-29.832
1.083,-10.718,-29.631
1.100,-11.267,-29.536
1.117,-12.216,-29.678
1.133,-12.228,-29.510
1.150,-11.657,-29.020
1.167,-11.488,-28.937
1.183,-11.436,-28.730
1.200,-11.492,-28.709
1.217,-11.704,-28.599
1.233,-11.713,-28.602
1.250,-11.988,-28.413
1.267,-11.847,-28.383
1.283,-11.933,-28.555
1.300,-11.853,-28.428
1.317,-12.376,-28.438
1.333,-12.145,-28.369
1.350,-12.631,-28.310
1.367,-12.789,-28.298
1.383,-12.710,-28.279
1.400,-12.802,-27.927
1.417,-12.571,-27.957
1.433,-12.891,-27.912
1.450,-13.616,-27.431
1.467,-13.102,-27.333
1.483,-12.936,-27.348
1.500,-13.110,-27.229
1.517,-12.689,-26.855
1.533,-12.945,-26.642
1.550,-13.006,-26.446
1.567,-13.097,-26.516
1.583,-13.284,-26.190
1.600,-12.796,-25.905
1.617,-13.543,-25.561
1.633,-13.685,-25.402
1.650,-13.601,-25.111
1.667,-13.822,-25.286
1.683,-13.872,-25.244
1.700,-13.780,-25.271
1.717,-13.857,-25.127
1.733,-14.172,-24.965
1.750,-14.281,-25.097
1.767,-14.464,-24.831
1.783,-14.957,-24.798
1.800,-14.560,-24.846
1.817,-14.168,-24.908
1.833,-14.608,-25.166
1.850,-14.555,-25.480
1.867,-14.571,-25.227
1.883,-14.283,-25.618
1.900,-14.339,-25.367
1.917,-14.352,-25.407
1.933,-14.604,-25.399
1.950,-14.259,-25.595
1.967,-14.796,-25.261
1.983,-14.558,-25.585
2.000,-14.500,-25.679
2.017,-14.799,-25.339
2.033,-14.362,-25.524
2.050,-14.507,-25.197
2.067,-14.499,-25.099
2.083,-14.636,-24.966
2.100,-15.160,-24.909
2.117,-15.074,-24.741
2.133,-15.449,-24.546
2.150,-16.227,-24.521
2.167,-17.573,-24.039
2.183,-18.176,-24.006
2.200,-18.249,-24.120
2.217,-18.765,-24.192
2.233,-18.803,-24.047
2.250,-18.128,-24.009
2.267,-18.085,-23.490
2.283,-18.386,-22.376
2.300,-17.366,-21.719
2.317,-16.468,-21.271
2.333,-15.918,-20.471
2.350,-15.718,-19.982
2.367,-15.115,-19.227
2.383,-14.217,-18.706
2.400,-13.371,-17.509
2.417,-12.925,-17.152
2.433,-12.093,-16.042
2.450,-11.773,-15.325
2.467,-10.744,-14.600
2.483,-10.985,-13.847
2.500,-11.246,-12.681
2.517,-9.612,-12.995
2.533,-9.446,-12.350
2.550,-9.443,-11.499
2.567,-8.674,-11.274
2.583,-7.704,-11.748
2.600,-7.896,-10.776
2.617,-7.414,-10.767
2.633,-6.112,-11.630
2.650,-6.627,-10.755
2.667,-6.390,-10.940
2.683,-6.132,-11.099
2.700,-6.199,-10.883
2.717,-5.631,-11.594
2.733,-6.541,-11.232
2.750,-6.139,-11.579
2.767,-5.506,-12.387
2.783,-6.136,-12.592
2.800,-6.733,-13.194
2.817,-6.214,-13.428
2.833,-6.104,-13.929
2.850,-5.809,-14.098
2.867,-5.855,-14.696
2.883,-6.306,-15.049
2.900,-6.596,-15.782
2.917,-6.618,-16.061
2.933,-6.597,-16.835
2.950,-6.436,-17.184
2.967,-6.493,-17.532
2.983,-7.045,-17.914
3.000,-7.226,-18.251
3.017,-7.335,-19.027
3.033,-7.149,-19.147
3.050,-7.076,-19.648
3.067,-6.804,-20.152
3.083,-6.650,-20.304
3.100,-6.479,-20.489
3.117,-7.168,-20.677
3.133,-6.761,-20.755
3.150,-6.882,-20.912
3.167,-6.911,-21.245
3.183,-6.722,-21.266
3.200,-7.156,-21.287
3.217,-7.358,-21.334
3.233,-7.301,-21.855
3.250,-7.530,-21.821
3.267,-7.900,-21.987
3.283,-7.885,-21.996
3.300,-8.303,-22.096
3.317,-9.021,-22.181
3.333,-9.114,-22.225
3.350,-9.308,-22.136
3.367,-9.677,-22.306
3.383,-10.086,-22.108
3.400,-10.515,-22.126
3.417,-10.919,-21.791
3.433,-11.060,-22.261
3.450,-11.878,-21.856
3.467,-12.105,-21.856
3.483,-12.657,-21.519
3.500,-12.747,-21.636
3.517,-12.723,-21.652
3.533,-12.542,-21.382
3.550,-12.739,-21.382
3.567,-12.684,-21.382
3.583,-12.597,-21.303
3.600,-12.487,-21.198
3.617,-11.977,-20.821
3.633,-12.561,-20.581
3.650,-12.550,-20.564
3.667,-12.712,-20.519
3.683,-12.353,-20.317
3.700,-12.290,-20.307
3.717,-12.569,-20.732
3.733,-12.613,-20.346
3.750,-12.789,-20.484
3.767,-12.726,-20.326
3.783,-12.474,-20.544
3.800,-12.185,-20.490
3.817,-11.881,-20.628
3.833,-12.008,-20.801
3.850,-12.180,-21.099
3.867,-11.678,-21.083
3.883,-11.081,-21.103
3.900,-11.131,-20.821
3.917,-11.094,-20.553
3.933,-10.784,-19.956
3.950,-10.461,-19.814
3.967,-10.607,-19.497
3.983,-9.837,-19.255
4.000,-9.478,-19.120
4.017,-8.862,-18.670
4.033,-8.564,-18.390
4.050,-8.177,-18.443
4.067,-7.568,-18.335
4.083,-7.100,-18.213
4.100,-7.127,-17.762
4.117,-6.877,-17.872
4.133,-7.396,-17.872
4.150,-7.847,-17.555
4.167,-8.070,-17.118
4.183,-7.452,-17.459
4.200,-8.239,-17.662
4.217,-8.149,-18.047
4.233,-8.123,-18.182
4.250,-8.054,-18.548
4.267,-7.836,-18.459
4.283,-7.357,-18.519
4.300,-7.418,-18.757
4.317,-7.243,-18.829
4.333,-7.904,-19.103
4.350,-7.765,-19.432
4.367,-8.202,-19.644
4.383,-8.433,-19.646
4.400,-8.365,-19.984
4.417,-8.328,-20.017
4.433,-8.102,-20.226
4.450,-8.281,-20.432
4.467,-8.229,-20.627
4.483,-8.601,-20.428
4.500,-8.873,-20.752
4.517,-9.107,-21.077
4.533,-9.261,-20.878
4.550,-9.726,-21.098
4.567,-9.991,-21.035
4.583,-9.931,-21.140
4.600,-10.146,-21.271
4.617,-10.312,-21.465
4.633,-10.222,-21.439
4.650,-10.366,-21.387
4.667,-10.217,-21.303
4.683,-10.257,-21.471
4.700,-10.541,-21.361
4.717,-10.275,-21.334
4.733,-10.328,-21.067
4.750,-10.253,-21.172
4.767,-10.092,-21.109
4.783,-10.369,-20.983
4.800,-10.060,-21.004
4.817,-10.640,-20.852
4.833,-10.504,-20.725
4.850,-11.432,-20.556
4.867,-11.218,-20.578
4.883,-11.522,-20.525
4.900,-11.781,-20.795
4.917,-11.998,-20.889
4.933,-12.047,-21.208
4.950,-12.205,-21.219
4.967,-12.205,-21.386
4.983,-12.341,-21.245
5.000,-12.253,-21.455
5.017,-12.205,-21.161
5.033,-12.563,-21.093
5.050,-12.474,-21.114
5.067,-12.833,-21.056
5.083,-13.151,-21.382
5.100,-13.020,-21.434
5.117,-13.138,-21.455
5.133,-13.164,-21.587
5.150,-13.466,-21.492
5.167,-13.391,-21.650
5.183,-13.590,-21.413
5.200,-13.564,-21.666
5.217,-13.650,-21.713
5.233,-13.452,-21.534
5.250,-13.462,-21.570
5.267,-13.662,-21.229
5.283,-13.271,-21.266
5.300,-13.311,-21.309
5.317,-13.197,-21.292
5.333,-13.414,-21.240
5.350,-13.582,-21.266
5.367,-13.618,-21.104
5.383,-13.169,-20.914
5.400,-13.243,-20.950
5.417,-13.193,-20.820
5.433,-12.949,-20.572
5.450,-12.828,-20.375
5.467,-12.882,-20.069
5.483,-13.130,-19.795
5.500,-12.947,-19.807
5.517,-12.778,-19.746
5.533,-12.671,-19.357
5.550,-12.356,-18.747
5.567,-12.458,-18.729
5.583,-12.192,-18.898
5.600,-12.080,-18.622
5.617,-12.293,-18.495
5.633,-11.931,-18.717
5.650,-11.782,-18.204
5.667,-11.932,-18.301
5.683,-12.228,-18.273
5.700,-12.106,-18.190
5.717,-12.039,-18.347
5.733,-11.424,-18.286
5.750,-11.963,-18.139
5.767,-11.516,-17.886
5.783,-11.624,-17.757
5.800,-11.564,-17.895
5.817,-11.954,-17.907
5.833,-11.565,-17.742
5.850,-11.527,-17.739
5.867,-11.310,-17.600
5.883,-12.009,-17.622
5.900,-11.490,-17.917
5.917,-11.523,-17.700
5.933,-10.962,-18.160
5.950,-11.216,-17.735
5.967,-11.342,-17.850
5.983,-11.183,-17.910
6.000,-10.706,-17.671
6.017,-11.010,-17.982
6.033,-11.114,-17.880
6.050,-11.747,-17.795
6.067,-11.871,-17.724
6.083,-11.444,-17.562
6.100,-11.652,-17.645
6.117,-11.193,-17.322
6.133,-11.253,-17.412
6.150,-10.885,-17.137
6.167,-11.087,-17.471
6.183,-10.908,-17.416
6.200,-10.826,-17.112
6.217,-11.260,-17.373
6.233,-11.189,-17.347
6.250,-10.816,-17.117
6.267,-11.131,-17.107
6.283,-10.505,-17.033
6.300,-10.833,-17.214
6.317,-10.405,-17.353
6.333,-10.307,-17.481
6.350,-10.419,-17.086
6.367,-10.312,-17.420
6.383,-10.134,-17.272
6.400,-10.067,-17.217
6.417,-9.687,-17.194
6.433,-10.043,-17.118
6.450,-9.576,-16.845
6.467,-10.003,-17.123
6.483,-10.266,-17.459
6.500,-10.366,-17.420
6.517,-9.936,-17.613
6.533,-9.897,-17.487
6.550,-9.706,-17.128
6.567,-9.936,-17.278
6.583,-9.840,-17.092
6.600,-9.768,-17.202
6.617,-10.044,-17.529
6.633,-9.405,-17.404
6.650,-9.991,-17.700
6.667,-10.106,-17.568
6.683,-10.007,-17.534
6.700,-9.534,-17.254
6.717,-10.430,-17.368
6.733,-9.638,-17.245
6.750,-9.950,-16.695
6.767,-10.527,-16.712
6.783,-10.331,-16.726
6.800,-9.977,-17.015
6.817,-10.814,-16.645
6.833,-9.882,-17.066
6.850,-9.944,-16.916
6.867,-10.558,-16.393
6.883,-9.878,-17.079
6.900,-10.023,-16.884
6.917,-10.093,-17.326
6.933,-10.258,-17.543
6.950,-10.538,-17.389
6.967,-10.736,-17.796
6.983,-10.784,-17.841
7.000,-10.823,-18.015
7.017,-10.412,-17.762
7.033,-10.420,-17.679
7.050,-10.284,-17.375
7.067,-11.042,-16.887
7.083,-10.636,-17.097
7.100,-10.972,-17.680
7.117,-10.972,-17.268
7.133,-11.204,-17.600
7.150,-10.774,-17.343
7.167,-10.258,-16.840
7.183,-10.574,-16.769
7.200,-11.007,-16.422
7.217,-10.304,-16.751
7.233,-10.959,-16.245
7.250,-10.461,-16.378
7.267,-10.293,-16.825
7.283,-10.056,-16.820
7.300,-10.088,-17.018
7.317,-10.105,-16.751
7.333,-10.344,-17.036
7.350,-10.034,-16.798
7.367,-10.107,-16.781
7.383,-9.660,-16.843
7.400,-9.890,-16.906
7.417,-9.655,-17.062
7.433,-9.679,-17.330
7.450,-9.577,-17.358
7.467,-9.280,-17.399
7.483,-9.606,-17.589
7.500,-9.364,-17.744
7.517,-9.023,-17.944
7.533,-9.641,-17.953
7.550,-9.639,-18.394
7.567,-9.633,-18.572
7.583,-9.541,-18.481
7.600,-9.318,-18.445
7.617,-9.597,-18.833
7.633,-9.851,-18.877
7.650,-9.872,-18.772
7.667,-10.330,-18.718
7.683,-10.088,-19.145
7.700,-10.233,-19.025
7.717,-10.391,-19.094
7.733,-10.107,-18.828
7.750,-10.340,-18.876
7.767,-10.633,-18.987
7.783,-10.525,-18.895
7.800,-10.853,-18.694
7.817,-10.866,-18.434
7.833,-10.916,-18.207
7.850,-10.589,-18.167
7.867,-10.689,-17.893
7.883,-10.475,-17.963
7.900,-10.665,-17.563
7.917,-10.890,-17.883
7.933,-10.986,-17.923
7.950,-10.570,-17.602
7.967,-9.856,-17.695
7.983,-9.388,-17.532
8.000,-8.580,-17.309
8.017,-8.654,-17.555
8.033,-8.517,-17.505
8.050,-8.740,-17.801
8.067,-9.183,-17.799
8.083,-9.265,-17.706
8.100,-9.956,-17.196
8.117,-10.651,-16.742
8.133,-11.799,-15.720
8.150,-11.549,-15.546
8.167,-12.148,-15.088
8.183,-12.681,-14.288
8.200,-13.001,-14.648
8.217,-13.576,-14.859
8.233,-13.372,-15.051
8.250,-13.813,-15.300
8.267,-14.130,-15.527
8.283,-13.752,-15.821
8.300,-13.492,-16.239
8.317,-13.106,-16.184
8.333,-13.144,-16.053
8.350,-13.342,-16.184
8.367,-12.689,-16.497
8.383,-13.032,-16.808
8.400,-12.815,-16.900
8.417,-12.218,-17.125
8.433,-12.281,-17.298
8.450,-12.043,-17.185
8.467,-12.246,-17.249
8.483,-12.404,-17.306
8.500,-11.852,-16.968
8.517,-11.822,-16.908
8.533,-11.960,-16.767
8.550,-12.503,-16.892
8.567,-12.063,-16.650
8.583,-12.733,-16.071
8.600,-12.467,-16.338
8.617,-12.112,-16.245
8.633,-12.642,-16.691
8.650,-12.214,-16.232
8.667,-12.337,-16.298
8.683,-12.733,-16.500
8.700,-12.598,-16.303
8.717,-12.848,-16.339
8.733,-12.856,-16.073
8.750,-13.032,-16.321
8.767,-13.180,-15.970
8.783,-12.912,-16.133
8.800,-12.436,-15.958
8.817,-12.754,-15.734
8.833,-12.723,-15.936
8.850,-12.710,-16.171
8.867,-12.663,-15.996
8.883,-13.066,-15.595
8.900,-13.065,-16.294
8.917,-13.698,-15.574
8.933,-12.914,-16.063
8.950,-13.510,-15.845
8.967,-12.754,-16.118
8.983,-12.954,-16.099
9.000,-13.539,-16.134
9.017,-12.972,-16.202
9.033,-12.953,-16.227
9.050,-13.658,-15.748
9.067,-13.119,-16.071
9.083,-12.996,-15.993
9.100,-13.307,-15.517
9.117,-11.952,-16.127
9.133,-12.519,-16.316
9.150,-11.877,-16.214
9.167,-11.787,-16.139
9.183,-11.559,-16.312
9.200,-11.617,-16.264
9.217,-11.574,-16.486
9.233,-10.901,-16.330
9.250,-11.414,-16.963
9.267,-10.935,-16.583
9.283,-10.944,-16.753
9.300,-10.520,-16.819
9.317,-11.036,-16.929
9.333,-11.396,-17.181
9.350,-10.724,-17.226
9.367,-10.896,-17.464
9.383,-10.957,-17.304
9.400,-10.845,-17.237
9.417,-10.732,-17.247
9.433,-10.930,-17.171
9.450,-10.929,-16.971
9.467,-11.052,-16.987
9.483,-10.822,-16.854
9.500,-11.086,-16.824
9.517,-10.867,-16.451
9.533,-10.539,-16.472
9.550,-10.999,-15.888
9.567,-11.010,-15.819
9.583,-10.976,-15.702
9.600,-10.713,-15.579
9.617,-10.315,-15.348
9.633,-10.243,-15.103
9.650,-10.239,-14.644
9.667,-10.537,-14.617
9.683,-10.468,-14.249
9.700,-10.670,-13.805
9.717,-10.008,-14.466
9.733,-10.245,-13.795
9.750,-10.077,-13.845
9.767,-9.825,-14.345
9.783,-10.101,-14.239
9.800,-10.011,-14.170
9.817,-9.800,-14.148
9.833,-9.954,-13.878
9.850,-10.012,-14.176
9.867,-10.169,-14.155
9.883,-10.160,-14.177
9.900,-10.690,-13.817
9.917,-9.919,-14.596
9.933,-10.097,-14.622
9.950,-10.092,-14.962
9.967,-10.095,-14.661
9.983,-10.155,-14.648
10.000,-10.372,-14.874
10.017,-9.851,-15.349
10.033,-9.814,-15.478
10.050,-10.183,-15.741
10.067,-10.345,-16.286
10.083,-10.035,-16.283
10.100,-10.210,-16.631
10.117,-10.017,-16.947
10.133,-10.122,-17.204
10.150,-10.415,-17.611
10.167,-10.420,-17.841
10.183,-10.260,-18.458
10.200,-10.604,-19.210
10.217,-10.306,-19.925
10.233,-10.784,-20.486
10.250,-11.151,-21.651
10.267,-10.885,-22.227
10.283,-11.350,-22.421
10.300,-11.286,-22.715
10.317,-11.386,-22.604
10.333,-11.494,-22.682
10.350,-11.675,-22.394
10.367,-11.572,-22.263
10.383,-11.411,-21.997
10.400,-12.002,-21.665
10.417,-11.761,-21.364
10.433,-11.858,-20.963
10.450,-11.879,-20.816
10.467,-11.656,-20.270
10.483,-11.660,-19.903
10.500,-11.837,-19.347
10.517,-11.587,-19.297
10.533,-11.621,-19.031
10.550,-11.547,-18.805
10.567,-11.575,-18.631
10.583,-11.291,-18.533
10.600,-11.412,-18.376
10.617,-11.286,-18.250
10.633,-11.699,-18.026
10.650,-11.542,-18.000
10.667,-11.423,-17.998
10.683,-11.046,-17.896
10.700,-11.008,-17.678
10.717,-11.017,-17.770
10.733,-11.129,-17.722
10.750,-11.256,-17.496
10.767,-11.331,-17.536
10.783,-10.959,-17.675
10.800,-11.092,-17.602
10.817,-11.090,-17.669
10.833,-11.342,-17.832
10.850,-11.195,-17.965
10.867,-11.444,-17.738
10.883,-11.125,-17.825
10.900,-11.396,-17.785
10.917,-11.382,-18.160
10.933,-11.658,-18.188
10.950,-11.451,-18.289
10.967,-11.478,-18.399
10.983,-11.617,-18.427
11.000,-11.924,-18.721
11.017,-11.964,-18.637
11.033,-11.620,-18.627
11.050,-11.633,-18.720
11.067,-11.915,-18.866
11.083,-11.908,-18.859
11.100,-11.793,-18.885
11.117,-11.744,-18.681
11.133,-11.568,-19.056
11.150,-12.070,-18.941
11.167,-11.755,-18.710
11.183,-12.362,-18.732
11.200,-12.088,-18.676
11.217,-11.862,-18.610
11.233,-12.002,-18.871
11.250,-12.007,-19.270
11.267,-12.244,-19.261
11.283,-12.212,-19.223
11.300,-11.721,-18.711
11.317,-12.099,-18.817
11.333,-12.056,-18.205
11.350,-12.311,-17.947
11.367,-12.066,-17.644
11.383,-12.713,-17.653
11.400,-12.534,-17.618
11.417,-12.332,-17.645
11.433,-12.151,-17.790
11.450,-11.677,-17.587
11.467,-11.915,-17.731
11.483,-12.261,-17.680
11.500,-12.465,-17.761
11.517,-12.403,-17.617
11.533,-11.968,-17.406
11.550,-12.224,-17.486
11.567,-11.849,-17.735
11.583,-11.664,-17.772
11.600,-11.850,-18.005
11.617,-12.414,-18.172
11.633,-11.818,-18.090
11.650,-12.524,-18.471
11.667,-12.324,-18.494
11.683,-12.274,-18.711
11.700,-12.117,-18.438
11.717,-12.062,-18.728
11.733,-11.678,-18.727
11.750,-11.895,-18.817
11.767,-12.261,-19.047
11.783,-11.482,-18.889
11.800,-12.241,-19.145
11.817,-12.728,-19.290
11.833,-12.377,-19.221
11.850,-12.405,-19.322
11.867,-12.736,-19.549
11.883,-11.954,-19.597
11.900,-12.346,-19.817
11.917,-12.234,-20.109
11.933,-11.965,-20.163
11.950,-12.085,-20.214
11.967,-11.964,-20.032
11.983,-11.762,-19.850
12.000,-11.738,-19.727
12.017,-12.067,-19.954
12.033,-11.865,-19.942
12.050,-11.821,-19.759
12.067,-11.462,-19.540
12.083,-11.665,-19.585
12.100,-11.878,-19.465
12.117,-11.554,-19.145
12.133,-11.630,-19.233
12.150,-12.019,-19.447
12.167,-11.952,-19.121
12.183,-11.669,-19.362
12.200,-11.977,-19.439
12.217,-11.960,-19.698
12.233,-12.109,-19.284
12.250,-13.288,-19.133
12.267,-13.190,-19.213
12.283,-13.189,-19.036
12.300,-13.286,-18.931
12.317,-13.242,-18.974
12.333,-13.393,-18.744
12.350,-13.037,-18.815
12.367,-13.389,-18.644
12.383,-13.541,-18.720
12.400,-13.268,-18.812
12.417,-13.537,-19.062
12.433,-13.294,-18.961
12.450,-13.638,-19.023
12.467,-13.390,-18.905
12.483,-13.866,-19.011
12.500,-14.118,-18.884
12.517,-13.991,-19.029
12.533,-14.294,-18.939
12.550,-14.658,-18.827
12.567,-14.247,-18.792
12.583,-14.343,-19.024
12.600,-14.299,-19.065
12.617,-14.380,-19.172
12.633,-14.099,-19.301
12.650,-13.827,-19.189
12.667,-13.583,-19.144
12.683,-13.404,-19.435
12.700,-14.405,-19.756
12.717,-15.400,-19.715
12.733,-16.357,-19.865
12.750,-16.887,-19.986
12.767,-17.686,-19.853
12.783,-17.927,-19.864
12.800,-17.797,-19.961
12.817,-17.597,-19.947
12.833,-16.423,-20.363
12.850,-15.919,-20.245
12.867,-15.178,-20.367
12.883,-14.629,-20.457
12.900,-14.028,-20.595
