type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,8.652,-15.763
0.017,8.343,-15.935
0.033,8.734,-15.740
0.050,8.570,-15.933
0.067,8.283,-16.184
0.083,8.382,-16.268
0.100,8.197,-16.463
0.117,8.338,-16.593
0.133,8.355,-16.556
0.150,8.335,-16.701
0.167,8.118,-17.097
0.183,8.298,-17.296
0.200,8.192,-17.641
0.217,8.046,-17.663
0.233,7.584,-17.707
0.250,7.386,-17.999
0.267,7.073,-17.977
0.283,6.971,-17.933
0.300,7.196,-18.234
0.317,7.076,-18.329
0.333,7.039,-18.206
0.350,6.825,-18.391
0.367,6.888,-18.382
0.383,6.702,-18.137
0.400,6.720,-18.386
0.417,6.671,-18.162
0.433,6.978,-18.054
0.450,6.270,-17.814
0.467,5.972,-17.638
0.483,6.114,-17.311
0.500,5.303,-16.870
0.517,5.369,-16.252
0.533,5.288,-15.954
0.550,4.900,-15.690
0.567,4.502,-15.593
0.583,4.571,-14.978
0.600,4.471,-14.483
0.617,3.072,-13.888
0.633,3.155,-13.055
0.650,2.721,-12.524
0.667,1.978,-11.692
0.683,1.711,-11.414
0.700,1.951,-10.879
0.717,1.661,-10.671
0.733,1.734,-10.329
0.750,1.825,-9.851
0.767,1.896,-9.853
0.783,1.545,-9.861
0.800,1.775,-9.912
0.817,1.803,-9.916
0.833,1.957,-9.980
0.850,2.313,-10.246
0.867,2.269,-10.306
0.883,2.203,-10.450
0.900,2.038,-10.438
0.917,2.435,-10.350
0.933,2.171,-10.477
0.950,2.410,-10.707
0.967,2.907,-10.646
0.983,3.449,-10.927
1.000,3.830,-11.148
1.017,4.307,-11.229
1.033,4.931,-11.784
1.050,5.074,-11.746
1.067,5.628,-11.895
1.083,6.119,-11.817
1.100,6.156,-11.900
1.117,6.447,-11.918
1.133,6.671,-11.628
1.150,6.405,-11.460
1.167,6.273,-11.084
1.183,5.728,-10.398
1.200,5.207,-9.844
1.217,5.354,-9.275
1.233,5.402,-8.677
1.250,4.953,-8.413
1.267,5.263,-7.905
1.283,4.634,-7.907
1.300,4.392,-7.555
1.317,4.535,-7.289
1.333,4.421,-7.367
1.350,4.143,-7.119
1.367,4.114,-7.077
1.383,3.894,-7.121
1.400,4.396,-7.154
1.417,4.650,-7.096
1.433,4.327,-6.940
1.450,4.034,-6.842
1.467,4.581,-6.878
1.483,4.646,-6.895
1.500,4.908,-6.905
