type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,-10.432,-3.036
0.017,-10.398,-3.132
0.033,-11.066,-2.931
0.050,-10.837,-2.827
0.067,-10.971,-2.524
0.083,-11.842,-1.989
0.100,-11.776,-1.653
0.117,-12.026,-1.354
0.133,-12.252,-1.403
0.150,-12.122,-1.633
0.167,-12.392,-1.593
0.183,-12.274,-1.872
0.200,-12.295,-1.697
0.217,-11.970,-1.836
0.233,-11.690,-1.779
0.250,-11.599,-2.133
0.267,-11.621,-2.421
0.283,-11.172,-2.534
0.300,-11.461,-2.648
0.317,-10.747,-2.999
0.333,-10.435,-3.038
0.350,-10.161,-2.902
0.367,-9.369,-2.928
0.383,-8.797,-3.204
0.400,-8.319,-3.191
0.417,-7.498,-3.144
0.433,-7.318,-3.164
0.450,-6.945,-3.153
0.467,-6.934,-3.373
0.483,-6.820,-3.228
0.500,-7.046,-3.151
0.517,-6.886,-2.759
0.533,-6.933,-2.242
0.550,-6.811,-1.725
0.567,-7.105,-1.148
0.583,-6.906,-0.801
0.600,-7.447,-0.799
0.617,-7.516,-0.512
0.633,-7.038,-0.401
0.650,-8.084,-0.163
0.667,-8.607,-0.105
0.683,-8.447,-0.147
0.700,-9.141,-0.447
0.717,-9.013,-0.723
0.733,-9.439,-1.163
0.750,-9.527,-1.418
0.767,-9.384,-1.627
0.783,-8.978,-1.765
0.800,-9.167,-2.349
0.817,-9.407,-2.967
0.833,-9.725,-3.502
0.850,-9.480,-3.966
0.867,-10.429,-4.193
0.883,-10.617,-4.419
0.900,-10.474,-4.773
0.917,-10.475,-5.290
0.933,-10.556,-5.629
0.950,-10.495,-5.981
0.967,-10.755,-6.868
0.983,-11.267,-7.402
1.000,-10.908,-7.248
1.017,-10.731,-7.319
1.033,-10.909,-7.269
1.050,-11.045,-7.101
1.067,-10.207,-6.874
1.083,-10.456,-6.374
1.100,-10.590,-5.948
1.117,-10.587,-5.631
1.133,-10.579,-5.204
1.150,-10.677,-5.727
1.167,-10.388,-5.660
1.183,-10.412,-5.771
1.200,-10.719,-5.996
1.217,-10.329,-6.136
1.233,-10.393,-6.316
1.250,-10.382,-6.615
1.267,-10.100,-6.881
1.283,-10.059,-7.544
1.300,-10.356,-8.060
1.317,-10.936,-8.709
1.333,-11.107,-9.406
1.350,-10.771,-9.942
1.367,-10.919,-10.319
1.383,-10.619,-10.752
1.400,-10.411,-10.882
1.417,-10.599,-11.032
1.433,-10.877,-11.168
1.450,-10.743,-11.363
1.467,-11.412,-11.252
1.483,-11.516,-11.330
1.500,-11.307,-11.518
1.517,-12.246,-11.763
1.533,-11.648,-11.540
1.550,-12.160,-11.329
1.567,-12.322,-11.162
1.583,-12.190,-11.005
1.600,-11.843,-11.040
1.617,-11.276,-10.623
1.633,-11.651,-10.202
1.650,-11.781,-9.915
1.667,-11.752,-9.647
1.683,-11.843,-9.272
1.700,-11.800,-9.013
1.717,-10.720,-8.528
1.733,-10.599,-8.269
1.750,-10.644,-8.380
1.767,-10.220,-8.072
1.783,-10.129,-7.968
1.800,-10.126,-7.910
1.817,-9.825,-7.936
1.833,-10.747,-8.224
1.850,-11.293,-8.547
1.867,-11.161,-8.885
1.883,-11.413,-9.340
1.900,-10.915,-9.664
1.917,-10.656,-10.177
1.933,-9.863,-10.685
1.950,-10.373,-11.303
1.967,-9.844,-12.596
1.983,-9.784,-13.844
2.000,-9.399,-14.914
2.017,-8.740,-15.814
2.033,-8.802,-17.003
2.050,-7.909,-17.533
2.067,-8.126,-17.690
2.083,-7.908,-17.968
2.100,-8.048,-17.870
2.117,-7.710,-17.837
2.133,-8.353,-17.429
2.150,-8.331,-16.986
2.167,-8.574,-16.525
2.183,-9.330,-15.720
2.200,-8.657,-15.236
2.217,-9.403,-14.641
2.233,-8.921,-14.024
2.250,-8.817,-13.778
2.267,-9.201,-13.045
2.283,-9.694,-12.541
2.300,-9.112,-12.086
2.317,-8.587,-12.076
2.333,-9.167,-12.003
2.350,-8.869,-12.092
2.367,-8.370,-12.027
2.383,-8.514,-11.987
2.400,-8.447,-11.833
2.417,-7.964,-12.124
2.433,-8.275,-12.219
2.450,-8.603,-12.507
2.467,-7.839,-12.701
2.483,-8.547,-12.983
2.500,-8.055,-12.939
2.517,-8.946,-13.089
2.533,-8.979,-13.094
2.550,-8.403,-13.129
2.567,-8.203,-12.796
2.583,-8.325,-12.369
2.600,-8.381,-12.380
