type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,1.120,-23.056
0.017,0.669,-23.102
0.033,0.533,-22.753
0.050,0.759,-22.558
0.067,0.442,-22.582
0.083,-0.006,-22.111
0.100,0.234,-21.774
0.117,-0.507,-21.119
0.133,0.063,-21.108
0.150,0.096,-20.478
0.167,-0.216,-20.134
0.183,-0.159,-19.854
0.200,-0.334,-19.458
0.217,-1.312,-19.526
0.233,-1.148,-19.650
0.250,-1.123,-19.667
0.267,-1.233,-20.039
0.283,-0.774,-20.061
0.300,-1.068,-20.262
0.317,-0.968,-20.305
0.333,-1.384,-20.615
0.350,-0.759,-20.502
0.367,-0.822,-20.791
0.383,-1.252,-20.709
0.400,-1.518,-20.746
0.417,-1.110,-20.823
0.433,-1.243,-21.239
0.450,-1.356,-21.336
0.467,-1.068,-21.369
0.483,-0.667,-21.370
0.500,-0.571,-21.233
0.517,-0.552,-21.586
0.533,-0.908,-21.596
0.550,-1.460,-21.561
0.567,-1.230,-21.905
0.583,-1.476,-21.598
0.600,-1.727,-21.780
0.617,-1.568,-21.142
0.633,-1.958,-21.370
0.650,-2.126,-21.723
0.667,-2.705,-21.854
0.683,-2.933,-22.350
0.700,-3.123,-22.561
0.717,-3.024,-22.830
0.733,-2.628,-23.559
0.750,-2.402,-23.441
0.767,-2.037,-23.818
0.783,-2.181,-24.386
0.800,-2.114,-24.871
0.817,-1.851,-24.582
0.833,-2.181,-25.146
0.850,-1.370,-25.816
0.867,-0.959,-25.422
0.883,-1.207,-26.029
0.900,-0.449,-25.977
0.917,-0.815,-26.437
0.933,-0.552,-26.572
0.950,-0.841,-26.570
0.967,-0.477,-25.826
0.983,-0.495,-25.678
1.000,-0.296,-25.212
1.017,-0.243,-24.533
1.033,-0.920,-23.804
1.050,-0.803,-23.015
1.067,-1.191,-22.265
1.083,-0.449,-21.273
1.100,-0.854,-20.664
1.117,-1.453,-19.995
1.133,-1.451,-19.578
1.150,-1.415,-19.580
1.167,-0.900,-19.342
1.183,-0.691,-18.985
1.200,-1.148,-19.434
1.217,-1.094,-19.714
1.233,-0.282,-19.803
1.250,0.633,-20.332
1.267,0.341,-20.392
1.283,1.306,-20.671
1.300,0.637,-21.250
1.317,1.468,-21.416
1.333,1.506,-21.767
1.350,1.819,-22.425
1.367,2.192,-22.671
1.383,2.402,-22.798
1.400,2.234,-23.131
1.417,2.435,-23.203
1.433,2.499,-23.284
1.450,2.624,-22.880
1.467,2.656,-23.011
1.483,2.321,-22.388
1.500,2.376,-22.255
1.517,2.218,-21.431
1.533,2.281,-20.572
1.550,1.914,-20.313
1.567,2.610,-19.583
1.583,2.729,-19.534
1.600,1.997,-19.252
1.617,3.122,-19.081
1.633,2.345,-18.735
1.650,1.951,-18.609
1.667,1.965,-18.896
1.683,1.350,-18.893
1.700,1.571,-18.789
1.717,1.480,-18.357
1.733,1.414,-18.240
1.750,1.374,-17.921
1.767,0.966,-17.602
1.783,0.664,-17.941
1.800,1.170,-17.733
1.817,0.543,-18.170
1.833,0.305,-18.492
1.850,0.253,-18.571
1.867,0.935,-18.862
1.883,1.011,-19.012
1.900,0.591,-19.087
1.917,0.644,-19.877
1.933,0.367,-20.346
1.950,1.106,-20.840
1.967,1.029,-20.898
1.983,1.107,-21.273
2.000,0.593,-21.769
2.017,0.807,-21.364
2.033,1.101,-21.707
2.050,0.854,-21.915
2.067,0.051,-21.853
2.083,0.388,-22.107
2.100,0.634,-21.958
2.117,0.456,-22.208
2.133,0.348,-22.327
2.150,0.387,-22.223
2.167,0.171,-22.775
2.183,0.354,-21.958
2.200,0.165,-22.184
2.217,0.267,-22.410
2.233,0.895,-22.105
2.250,0.377,-22.484
2.267,0.818,-22.188
2.283,0.603,-22.673
2.300,1.166,-22.610
2.317,1.231,-22.561
2.333,0.941,-22.750
2.350,1.091,-22.285
2.367,1.222,-22.449
2.383,0.901,-22.779
2.400,0.599,-22.499
2.417,0.683,-22.126
2.433,1.316,-21.768
2.450,0.828,-21.227
2.467,0.729,-21.330
2.483,1.003,-20.813
2.500,0.983,-20.591
2.517,0.911,-20.316
2.533,1.473,-20.215
2.550,1.112,-20.321
2.567,0.760,-19.911
2.583,1.086,-19.624
2.600,1.874,-19.483
2.617,1.331,-19.771
2.633,0.846,-19.876
2.650,0.787,-19.896
2.667,1.362,-19.768
2.683,1.346,-20.125
2.700,1.621,-20.292
2.717,1.241,-20.791
2.733,1.689,-20.698
2.750,1.774,-21.096
2.767,1.673,-21.290
2.783,1.652,-21.471
2.800,1.641,-21.619
2.817,1.538,-22.005
2.833,1.275,-21.996
2.850,1.098,-21.940
2.867,1.339,-22.572
2.883,1.660,-22.402
2.900,1.311,-22.940
2.917,1.598,-22.500
2.933,1.564,-22.376
2.950,2.004,-22.314
2.967,1.698,-22.642
2.983,1.743,-22.283
3.000,1.722,-22.961
3.017,1.513,-22.473
3.033,1.843,-22.581
3.050,2.033,-22.777
3.067,1.926,-22.835
3.083,2.300,-23.419
3.100,2.609,-23.184
3.117,2.133,-23.463
3.133,2.026,-23.356
3.150,1.983,-23.296
3.167,1.913,-23.209
3.183,1.437,-23.104
3.200,1.697,-23.004
3.217,1.721,-22.766
3.233,1.257,-23.002
3.250,1.712,-22.452
3.267,1.743,-22.042
3.283,1.745,-22.353
3.300,1.848,-21.494
3.317,2.309,-20.812
3.333,2.046,-20.545
3.350,2.447,-20.513
3.367,2.931,-20.180
3.383,2.734,-20.392
3.400,2.150,-19.688
3.417,2.418,-19.416
3.433,2.598,-19.117
3.450,3.404,-18.765
3.467,3.391,-18.807
3.483,3.374,-18.487
3.500,2.816,-18.474
3.517,3.440,-18.585
3.533,3.017,-18.453
3.550,2.571,-18.492
3.567,3.537,-18.682
3.583,3.050,-18.773
3.600,3.291,-18.531
3.617,2.682,-18.874
3.633,3.534,-19.032
3.650,3.496,-19.107
3.667,3.187,-19.165
3.683,3.046,-19.367
3.700,4.037,-19.115
3.717,3.484,-19.040
3.733,3.522,-19.023
3.750,2.995,-19.138
3.767,3.660,-19.083
3.783,3.742,-19.059
3.800,3.259,-18.664
3.817,3.407,-18.476
3.833,3.254,-18.425
3.850,2.402,-17.911
3.867,2.926,-17.985
3.883,2.289,-17.562
3.900,1.738,-17.830
3.917,2.978,-17.842
3.933,2.355,-17.400
3.950,2.566,-17.686
3.967,2.565,-17.689
3.983,2.812,-17.911
4.000,2.575,-18.090
4.017,3.637,-18.417
4.033,3.681,-18.496
4.050,3.278,-18.430
4.067,3.523,-18.545
4.083,3.975,-18.779
4.100,4.377,-18.988
4.117,4.223,-19.048
4.133,4.204,-19.046
4.150,4.229,-19.369
4.167,4.283,-19.539
4.183,4.215,-19.724
4.200,4.357,-20.081
4.217,4.814,-20.109
4.233,4.209,-20.274
4.250,4.544,-20.540
4.267,4.466,-20.373
4.283,4.386,-20.834
4.300,4.576,-20.725
4.317,4.667,-21.238
4.333,4.740,-21.454
4.350,5.048,-20.791
4.367,4.626,-20.672
4.383,4.404,-20.775
4.400,4.204,-20.538
4.417,4.585,-20.939
4.433,3.798,-21.136
4.450,4.419,-21.001
4.467,4.223,-21.165
4.483,4.136,-20.978
4.500,4.212,-20.996
4.517,4.608,-21.216
4.533,4.246,-21.335
4.550,4.625,-21.589
4.567,4.753,-21.771
4.583,4.390,-21.396
4.600,4.866,-21.901
4.617,4.410,-22.225
4.633,4.555,-22.254
4.650,4.362,-22.356
4.667,4.555,-22.379
4.683,4.184,-22.751
4.700,4.055,-23.144
4.717,4.206,-23.299
4.733,3.695,-23.295
4.750,3.569,-23.448
4.767,4.050,-23.946
4.783,4.166,-23.882
4.800,4.252,-24.047
4.817,4.029,-24.104
4.833,3.985,-24.094
4.850,3.979,-24.079
4.867,4.269,-24.117
4.883,4.073,-24.026
4.900,3.996,-23.933
4.917,3.637,-23.828
4.933,3.717,-23.726
4.950,3.793,-23.583
4.967,3.458,-23.664
4.983,3.344,-23.453
5.000,3.584,-23.437
5.017,3.265,-23.241
5.033,2.747,-23.362
5.050,3.055,-22.919
5.067,2.465,-22.895
5.083,2.870,-22.643
5.100,2.466,-22.446
5.117,2.654,-22.557
5.133,2.330,-22.316
5.150,2.584,-22.519
5.167,1.698,-22.619
5.183,2.569,-22.703
5.200,2.082,-22.430
5.217,2.068,-22.625
5.233,2.351,-22.240
5.250,1.752,-22.361
5.267,1.965,-22.483
5.283,1.717,-22.689
5.300,2.226,-22.820
5.317,2.498,-22.496
5.333,1.945,-22.047
5.350,2.009,-22.062
5.367,1.994,-21.818
5.383,2.097,-21.601
5.400,2.391,-21.306
5.417,2.270,-21.137
5.433,2.143,-21.108
5.450,1.838,-21.006
5.467,2.119,-20.487
5.483,2.419,-20.026
5.500,2.443,-19.600
5.517,2.908,-19.186
5.533,2.680,-19.056
5.550,2.635,-18.813
5.567,2.900,-18.502
5.583,3.076,-17.998
5.600,2.904,-17.978
5.617,2.984,-18.118
5.633,3.145,-17.884
5.650,2.390,-17.453
5.667,2.411,-17.242
5.683,2.895,-17.534
5.700,2.714,-17.153
5.717,2.133,-17.317
5.733,2.057,-17.035
5.750,1.861,-16.688
5.767,1.934,-16.355
5.783,1.775,-15.997
5.800,1.653,-15.556
5.817,1.605,-15.708
5.833,1.840,-15.385
5.850,1.891,-15.068
5.867,1.869,-14.632
5.883,1.256,-14.362
5.900,2.047,-14.363
5.917,1.996,-14.754
5.933,1.715,-14.253
5.950,1.453,-14.447
5.967,1.307,-14.296
5.983,1.463,-14.391
6.000,1.240,-14.479
6.017,0.391,-14.338
6.033,0.889,-14.524
6.050,0.141,-14.488
6.067,0.491,-14.855
6.083,0.767,-14.710
6.100,0.520,-14.550
6.117,0.683,-14.435
6.133,0.452,-14.458
6.150,0.592,-14.400
6.167,0.599,-14.301
6.183,1.035,-14.488
6.200,0.767,-14.393
6.217,1.241,-14.394
6.233,1.100,-14.362
6.250,0.670,-13.861
6.267,0.710,-14.128
6.283,0.832,-14.331
6.300,0.470,-14.343
6.317,0.667,-14.040
6.333,0.916,-14.239
6.350,1.381,-14.397
6.367,1.411,-14.580
6.383,1.471,-14.104
6.400,1.821,-14.195
6.417,1.531,-14.057
6.433,1.637,-13.949
6.450,1.802,-13.345
6.467,1.498,-13.363
6.483,1.971,-12.865
6.500,1.734,-12.926
6.517,2.098,-13.152
6.533,2.217,-12.943
6.550,2.302,-12.707
6.567,2.496,-12.989
6.583,1.985,-12.622
6.600,2.002,-12.323
6.617,1.901,-12.645
6.633,2.086,-12.250
6.650,2.791,-12.035
6.667,2.036,-11.565
6.683,2.054,-11.750
6.700,2.545,-11.552
6.717,2.490,-11.791
6.733,2.466,-11.765
6.750,2.283,-11.961
6.767,1.792,-11.738
