type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,5.318,-29.762
0.017,5.158,-29.994
0.033,4.604,-29.835
0.050,4.453,-30.093
0.067,4.690,-30.420
0.083,5.089,-30.588
0.100,4.169,-30.753
0.117,3.969,-31.113
0.133,3.999,-31.129
0.150,4.185,-31.297
0.167,4.195,-31.311
0.183,4.650,-31.438
0.200,4.635,-31.817
0.217,4.637,-31.262
0.233,4.000,-32.029
0.250,4.359,-31.779
0.267,3.626,-31.813
0.283,4.417,-31.731
0.300,4.548,-30.899
0.317,4.704,-30.344
0.333,4.552,-30.601
0.350,3.770,-30.335
0.367,3.933,-30.298
0.383,3.790,-29.968
0.400,4.348,-29.432
0.417,2.981,-29.442
0.433,3.144,-29.189
0.450,2.930,-29.127
0.467,2.807,-28.667
0.483,2.474,-29.715
0.500,3.055,-29.111
0.517,2.657,-30.081
0.533,2.004,-29.869
0.550,2.394,-29.848
0.567,2.646,-29.352
0.583,2.508,-29.573
0.600,1.943,-30.117
0.617,1.980,-29.488
0.633,2.388,-29.620
0.650,1.723,-30.345
0.667,1.802,-30.286
0.683,1.683,-30.210
0.700,1.987,-30.548
0.717,1.919,-30.451
0.733,1.878,-30.495
0.750,2.433,-30.161
0.767,1.343,-30.544
0.783,2.135,-31.150
0.800,1.665,-31.393
0.817,1.330,-31.802
0.833,1.607,-32.051
0.850,1.465,-32.361
0.867,1.202,-32.414
0.883,1.216,-32.705
0.900,1.799,-32.890
0.917,1.802,-32.759
0.933,1.797,-32.791
0.950,1.571,-32.487
0.967,1.719,-32.577
0.983,1.877,-32.503
1.000,2.248,-32.152
1.017,2.430,-32.213
1.033,2.320,-32.149
1.050,1.757,-32.270
1.067,2.431,-32.043
1.083,2.094,-32.346
1.100,2.020,-32.414
1.117,1.559,-32.320
1.133,1.793,-32.255
1.150,1.770,-31.982
1.167,2.028,-31.999
1.183,1.778,-31.826
1.200,2.159,-31.378
1.217,2.338,-31.246
1.233,2.159,-31.016
1.250,2.575,-30.806
1.267,1.837,-30.496
1.283,2.179,-30.244
1.300,2.386,-30.289
1.317,2.711,-30.544
1.333,2.548,-30.602
1.350,1.679,-30.619
1.367,2.515,-31.327
1.383,2.559,-31.462
1.400,1.833,-32.110
1.417,1.821,-32.190
1.433,1.908,-32.661
1.450,1.643,-32.463
1.467,1.929,-33.101
1.483,1.690,-33.047
1.500,2.102,-33.161
1.517,2.287,-33.076
1.533,2.050,-33.369
1.550,1.890,-33.257
1.567,1.718,-33.205
1.583,2.220,-33.369
1.600,1.617,-32.944
1.617,1.699,-33.230
1.633,1.769,-33.434
1.650,1.411,-33.188
1.667,1.554,-33.130
1.683,1.636,-33.311
1.700,1.459,-33.398
1.717,1.717,-33.241
1.733,1.464,-33.637
1.750,1.522,-33.852
1.767,1.171,-33.696
1.783,1.564,-33.892
1.800,2.083,-34.380
1.817,1.854,-34.112
1.833,1.907,-34.684
1.850,2.137,-34.471
1.867,1.916,-34.290
1.883,1.570,-34.220
1.900,1.845,-34.139
1.917,1.849,-34.174
1.933,1.667,-33.972
1.950,1.846,-34.158
1.967,1.934,-33.903
1.983,2.119,-34.118
2.000,2.059,-34.004
2.017,1.450,-33.601
2.033,1.618,-33.677
2.050,2.007,-34.043
2.067,2.107,-33.807
2.083,1.517,-33.889
2.100,1.061,-33.645
2.117,1.397,-33.762
2.133,1.333,-33.796
2.150,1.863,-33.304
2.167,1.522,-33.419
2.183,1.016,-33.001
2.200,2.025,-33.101
2.217,1.645,-32.731
2.233,2.151,-32.973
2.250,2.102,-32.562
2.267,2.754,-32.086
2.283,2.648,-32.202
2.300,2.727,-31.837
2.317,3.098,-31.599
2.333,3.099,-31.518
2.350,3.338,-30.904
2.367,3.765,-30.397
2.383,3.039,-30.803
2.400,3.717,-30.372
2.417,3.906,-30.636
2.433,3.454,-30.835
2.450,4.012,-30.260
2.467,3.435,-30.507
2.483,3.256,-30.623
2.500,3.400,-30.976
2.517,3.264,-30.720
2.533,2.989,-31.010
2.550,3.367,-31.461
2.567,3.799,-31.897
2.583,3.427,-32.472
2.600,3.143,-32.761
2.617,2.216,-32.461
2.633,2.524,-32.605
2.650,2.305,-32.752
2.667,2.502,-32.932
2.683,2.584,-33.102
2.700,3.095,-33.514
2.717,2.722,-33.280
2.733,2.643,-33.381
2.750,2.502,-33.673
2.767,2.581,-33.666
2.783,3.021,-33.977
2.800,2.301,-34.184
2.817,2.600,-34.665
