type,name,time_units,begin_time,frequency,count,units
signal_2d,"COP","s",0.000,60,1800,"mm"

time,x,y
0.000,-20.065,-43.115
0.017,-19.817,-43.769
0.033,-19.466,-44.268
0.050,-19.490,-44.658
0.067,-19.131,-45.042
0.083,-19.034,-45.557
0.100,-19.098,-45.720
0.117,-19.160,-45.718
0.133,-19.267,-45.520
0.150,-19.095,-45.718
0.167,-19.053,-45.462
0.183,-18.668,-45.542
0.200,-18.606,-45.417
0.217,-18.516,-45.417
0.233,-18.295,-45.342
0.250,-18.295,-45.227
0.267,-18.084,-45.024
0.283,-17.623,-44.842
0.300,-17.894,-44.662
0.317,-17.863,-44.409
0.333,-17.679,-44.316
0.350,-17.561,-44.006
0.367,-17.155,-43.856
0.383,-17.007,-43.578
0.400,-17.040,-43.376
0.417,-16.747,-43.107
0.433,-16.586,-42.568
0.450,-15.848,-42.406
0.467,-16.078,-41.951
0.483,-15.532,-41.785
0.500,-15.402,-41.832
0.517,-15.255,-41.945
0.533,-15.302,-41.492
0.550,-15.550,-41.730
0.567,-15.257,-41.938
0.583,-15.637,-41.808
0.600,-15.622,-42.067
0.617,-15.868,-41.965
0.633,-15.957,-42.135
0.650,-15.909,-42.734
0.667,-16.670,-43.112
0.683,-16.921,-43.136
0.700,-17.444,-43.056
0.717,-17.263,-43.213
0.733,-17.757,-42.542
0.750,-17.962,-42.601
0.767,-18.161,-42.334
0.783,-17.731,-42.620
0.800,-17.986,-42.180
0.817,-18.152,-42.477
0.833,-18.413,-42.435
0.850,-18.177,-42.586
0.867,-18.166,-42.627
0.883,-18.292,-42.657
0.900,-18.801,-42.385
0.917,-18.587,-42.284
0.933,-18.888,-41.877
0.950,-19.193,-41.694
0.967,-19.098,-41.280
0.983,-19.243,-41.192
1.000,-18.730,-40.909
1.017,-18.607,-40.593
1.033,-19.119,-40.393
1.050,-18.938,-40.145
1.067,-19.183,-40.123
1.083,-18.752,-40.035
1.100,-18.375,-39.863
1.117,-18.019,-39.850
1.133,-17.583,-39.924
1.150,-18.157,-39.944
1.167,-17.237,-40.048
1.183,-17.675,-39.954
1.200,-17.714,-40.234
1.217,-17.690,-40.197
1.233,-17.350,-40.485
1.250,-17.160,-40.330
1.267,-17.055,-40.324
1.283,-16.715,-40.314
1.300,-16.617,-40.796
1.317,-16.618,-40.461
1.333,-16.777,-40.354
1.350,-16.917,-40.009
1.367,-16.536,-40.071
1.383,-16.455,-40.098
1.400,-16.769,-40.031
1.417,-16.697,-39.773
1.433,-16.841,-40.046
1.450,-16.736,-40.023
1.467,-16.869,-40.101
1.483,-17.199,-39.986
1.500,-17.166,-39.740
